,img_name,is_damage,damage_confidence,pose,shape,num_object,num_dent,num_scratch,num_confident_objs,num_inconfident_objs,num_conf_dent,num_inconf_dent,num_conf_scratch,num_inconf_scratch
0,20190410_9936_21745292_92cd1ae189f8197c50baafabb371c1c3.jpg,0,1,3,"(800, 600, 3)",6,2,4,6,0,2,0,4,0
1,20190421_7010_22161407_34d91d2eb5440e51ff9ffcae578be67e.jpg,0,1,1,"(1024, 1024, 3)",11,0,11,10,1,0,0,10,1
2,20190410_6948_21732189_962bb6889fc975bdad841b45252a8975.jpg,0,1,2,"(768, 1024, 3)",8,0,8,8,0,0,0,8,0
3,20190505_5405_22791302_6de34a1e93386b4543a9de35afc08dea.jpg,0,1,1,"(600, 800, 3)",3,0,3,3,0,0,0,3,0
4,20190501_12572_22545288_f0093ecc89affaa9b4b82e3b9701d554.jpg,0,1,3,"(800, 600, 3)",6,1,5,6,0,1,0,5,0
5,20190525_10439_23878458_de3f563b496e9dde3adf0ef8a27678d9.jpg,0,1,3,"(768, 1024, 3)",2,1,1,2,0,1,0,1,0
6,20190410_6604_21721073_5baa04ee32c2ca0682794c56cd77dccd.jpg,0,1,3,"(601, 799, 3)",9,1,8,9,0,1,0,8,0
7,20190413_8144_21860679_65fd44d541bb77f075277d29cdd142ae.jpg,0,1,1,"(600, 800, 3)",4,0,4,4,0,0,0,4,0
8,20190422_6648_22214128_1059218ea0674dab09b80e0f4c62f66f.jpg,0,1,4,"(600, 800, 3)",2,2,0,2,0,2,0,0,0
9,20190419_5395_22066706_f353ca308883ecb88d7da7acc0df8ad4.jpg,0,1,3,"(1024, 768, 3)",6,1,5,5,1,1,0,4,1
10,20190511_10286_23140275_3ab73894632e27c9e4f67fffbebbca58.jpg,0,1,1,"(1024, 768, 3)",4,2,2,3,1,1,1,2,0
11,20190519_7329_23567932_fd90983ed5e5d8661876e852c01ec4ef.jpg,1,1,1,"(768, 1024, 3)",5,0,5,5,0,0,0,5,0
12,20190506_4537_22843433_ae289c7c057d97583f552d8aba2165ba.jpg,0,1,1,"(600, 800, 3)",12,0,12,12,0,0,0,12,0
13,20190414_6029_21910470_6271a0bc2a255d6b62d181f7e79b96c5.jpg,0,1,4,"(576, 1024, 3)",6,0,6,6,0,0,0,6,0
14,20190410_9076_21746827_40b28b3efc61cb0379a0974e164baac8.jpg,0,1,1,"(1024, 768, 3)",3,0,3,3,0,0,0,3,0
15,20190418_6648_22050649_975a040ae40c2b197fc8dfca7e1c11a3.jpg,0,1,4,"(1024, 768, 3)",5,0,5,5,0,0,0,5,0
16,20190521_8921_23672418_99d0800f78ec6c558bd97ce687e7e4c4.jpg,0,1,1,"(576, 1024, 3)",2,0,2,2,0,0,0,2,0
17,20190502_6389_22627182_4244ab80e993a279f869c4485031a92c.jpg,0,1,0,"(768, 1024, 3)",4,0,4,4,0,0,0,4,0
18,20190501_6169_22564861_d80edd607585ee44d0db15291281b4d1.jpg,0,1,4,"(576, 1024, 3)",5,1,4,4,1,1,0,3,1
19,20190527_14702_24017271_e39f1e9db3f1a8113715f7537cd87b2a.jpg,0,1,1,"(768, 1024, 3)",4,0,4,3,1,0,0,3,1
20,20190525_10737_23867261_117804eab91e74aac76216399708156d.jpg,0,1,2,"(576, 1024, 3)",17,0,17,17,0,0,0,17,0
21,20190417_7941_22019906_8bdc8960f16dab866a331a0c8501d4a7.jpg,0,1,4,"(768, 1024, 3)",5,0,5,4,1,0,0,4,1
22,20190413_9756_21858229_9f521a383666f5d24c61d6a1991762bc.jpg,0,1,1,"(768, 1024, 3)",6,1,5,6,0,1,0,5,0
23,20190414_16086_21893436_06e4c1e981a6e2b2a4a308502de7809f.jpg,0,1,0,"(512, 1024, 3)",3,1,2,2,1,1,0,1,1
24,20190519_7745_23554343_11640af2fbef4fbbc831000915f36705.jpg,0,1,1,"(768, 1024, 3)",3,0,3,3,0,0,0,3,0
25,20190525_7272_23903958_5f46d9f5d90fc8e2886022a6f71b7dcc.jpg,0,1,0,"(768, 1024, 3)",22,1,21,20,2,1,0,19,2
26,20190413_14239_21840162_cc76f7a35ce266b9d6c787f8e5fa9866.jpg,0,1,3,"(497, 1024, 3)",7,1,6,7,0,1,0,6,0
27,20190414_4390_21895923_cb94f002fda89f493c0a3551ffd978ff.jpg,0,1,1,"(600, 800, 3)",1,0,1,1,0,0,0,1,0
28,20190411_5320_21756008_74725a7e1673deef672f428c985b904a.jpg,0,1,2,"(497, 1024, 3)",2,0,2,2,0,0,0,2,0
29,20190412_16701_21782360_4292dead6286c78e4f89183fe39c5287.jpg,0,1,4,"(1024, 768, 3)",7,1,6,7,0,1,0,6,0
30,20190420_10463_22102287_8c57984c3766434ac681a3a62c6bfa76.jpg,0,1,0,"(800, 600, 3)",4,0,4,4,0,0,0,4,0
31,20190411_9820_21773821_4bb9ce1fce6ecd6ba11151f1db4cd82f.jpg,0,1,0,"(1024, 768, 3)",3,1,2,3,0,1,0,2,0
32,20190413_5167_21861316_0e6875cdf24fe8337e32a0ffc86bdd25.jpg,0,1,4,"(768, 1024, 3)",5,0,5,5,0,0,0,5,0
33,20190418_8574_22039177_5e316e003c71c3a1bb61d97c0757a1ce.jpg,1,1,1,"(1024, 576, 3)",2,0,2,2,0,0,0,2,0
34,20190515_8296_23340827_54d8509cbd7d7a240272512a3d086e3f.jpg,1,1,4,"(600, 800, 3)",2,0,2,0,2,0,0,0,2
35,20190412_7658_21789549_46a7ff01030855ba06470482fdf4a732.jpg,0,1,1,"(1024, 768, 3)",6,0,6,2,4,0,0,2,4
36,20190223_12972_20250072_15b49ecff8c2f87471a645e8d9dac6ab.jpg,0,1,1,"(576, 1024, 3)",18,1,17,17,1,0,1,17,0
37,20190425_7886_22298996_06258b6c2d92755a0832547291fcde24.jpg,0,1,4,"(1024, 768, 3)",2,1,1,1,1,0,1,1,0
38,20190506_6418_22896570_aa28d7966690502b48277ab2db6ea71d.jpg,0,1,1,"(1024, 1024, 3)",16,0,16,16,0,0,0,16,0
39,20190527_6524_24013091_57402e0f6060ed7b20e523ffd97cd24e.jpg,0,1,1,"(576, 1024, 3)",5,1,4,5,0,1,0,4,0
40,20190509_9358_23003515_c98f685e881c30cd46f0d096746fe4f7.jpg,0,1,2,"(768, 1024, 3)",4,1,3,3,1,0,1,3,0
41,20190520_16701_23609144_a2421984c0fc7daa963650ec52e5a301.jpg,0,1,0,"(1024, 768, 3)",5,0,5,2,3,0,0,2,3
42,20190530_5442_24180163_1119ae49c01220934ae8b2babaaf0e7e.jpg,0,1,3,"(768, 1024, 3)",5,1,4,5,0,1,0,4,0
43,20190521_5948_23674779_5122c59abd6755804a06dbc0c7359879.jpg,0,1,0,"(768, 1024, 3)",2,0,2,2,0,0,0,2,0
44,20190410_4993_21739458_d43aca069c9924625b9df8afa206c555.jpg,0,1,1,"(497, 1024, 3)",6,0,6,5,1,0,0,5,1
45,20190523_13043_23775857_32ed482353bc6051ab78eeae74d2822b.jpg,0,1,3,"(768, 1024, 3)",4,1,3,4,0,1,0,3,0
46,20190507_8011_22918778_8f3885c96a5aa94e04d616b2ddc0da1f.jpg,0,1,1,"(600, 800, 3)",11,0,11,10,1,0,0,10,1
47,20190411_5287_21762931_238bdd5afa8b207c266ce96fafde25c5.jpg,0,1,1,"(768, 1024, 3)",7,0,7,7,0,0,0,7,0
48,20190517_5666_23463707_37d1c92fab642e7d36efb7b521cbbf91.jpg,0,1,1,"(768, 1024, 3)",5,0,5,4,1,0,0,4,1
49,20190521_14013_23659149_3da71da404114dd3204810c5ef7c4c45.jpg,1,0,1,"(1024, 1024, 3)",5,0,5,5,0,0,0,5,0
50,20190524_11548_23817436_023f1bff0385ec2b0b1cad7abebc553b.jpg,0,1,0,"(768, 1024, 3)",0,0,0,0,0,0,0,0,0
51,20190518_11412_23474828_4243704e38fa50896a364c8dadfebf34.jpg,0,1,0,"(800, 600, 3)",6,0,6,6,0,0,0,6,0
52,20190415_6221_21941423_fde029bb60f90cffabd97307fe5e0e4b.jpg,1,1,4,"(600, 800, 3)",2,0,2,2,0,0,0,2,0
53,20190414_7018_21890272_86fe014406f55d918001bd3bd9802d5e.jpg,0,1,4,"(600, 800, 3)",3,0,3,3,0,0,0,3,0
54,20190418_4737_22040005_6f5d09037d055a999376d2fe37b9f64c.jpg,0,1,3,"(600, 800, 3)",7,0,7,6,1,0,0,6,1
55,20190409_6474_21705503_6f3a7c3cfe186f53856f2bd893e17c31.jpg,1,0,4,"(800, 600, 3)",8,2,6,8,0,2,0,6,0
56,20190514_12567_23293747_bca8a982b7f949ea4bbcfe57767f372e.jpg,0,1,2,"(1024, 768, 3)",2,0,2,1,1,0,0,1,1
57,20190526_9560_23986636_fedb1aa67ec7c51df42d63c0b59590fa.jpg,0,1,2,"(800, 600, 3)",1,0,1,1,0,0,0,1,0
58,20190410_9936_21745290_79b6d4c124e85f1b030007a9a7ff9032.jpg,0,1,4,"(600, 800, 3)",8,2,6,7,1,2,0,5,1
